"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
4.539463836E0,9.010262489E-1,4.080579877E-1,-8.026769161E-1
4.559445259E0,1.230893493E0,1.740965992E-1,-4.471533597E-1
4.579420336E0,1.987144589E0,-8.570439219E-1,-2.553416789E-1
4.599403297E0,2.463008642E0,-2.034792185E0,-2.926044464E-1
4.619363028E0,2.353052855E0,-2.433687210E0,-5.882632136E-1
4.639344759E0,1.480737329E0,-1.360396862E0,-9.737191796E-1
4.659329412E0,1.086118460E0,-3.341432810E-1,-8.649851680E-1
4.679299797E0,1.010371089E0,3.903428912E-1,-7.599163651E-1
4.699275681E0,1.049466491E0,4.532620013E-1,-8.032878041E-1
4.719271220E0,1.332297087E0,6.536258012E-2,-9.712757468E-1
4.739244335E0,1.441031098E0,-2.803871334E-1,-1.015868902E0
4.759215566E0,1.044579625E0,2.626720630E-2,-7.324274182E-1
4.779171796E0,6.414085031E-1,4.831944108E-1,-2.932153046E-1
4.799145527E0,6.255260110E-1,4.013384581E-1,-1.466076635E-2
4.819112835E0,7.415903807E-1,-2.675589919E-1,5.742133409E-2
4.839097142E0,7.055493593E-1,-1.021366715E0,7.391469181E-2
4.859072065E0,7.318165898E-1,-1.244332552E0,5.192354694E-2
4.879053373E0,6.401867867E-1,-8.136724830E-1,0.000000000E0
4.899037219E0,2.541199327E-1,-4.520402849E-2,-2.871066704E-2
4.919007757E0,-4.764748737E-2,2.125810981E-1,-2.443460980E-3
4.938964873E0,-2.327396572E-1,1.814269722E-1,-1.099557430E-2
4.958958450E0,-4.123340547E-1,7.855727077E-1,-1.966986060E-1
4.978930373E0,-4.801400900E-1,7.446447611E-1,-7.391469181E-2
4.998900988E0,-4.489859641E-1,2.480112910E-1,4.502076805E-1
5.018891103E0,-2.840523422E-1,-1.563815027E-1,1.076955438E0
5.038872834E0,-1.185078546E-1,-3.543018550E-2,1.548543453E0
5.058848988E0,-1.753183305E-1,4.905247986E-1,1.629177570E0
5.078834911E0,-7.122688890E-1,1.215011001E0,1.356731653E0
5.098792026E0,-1.040303469E0,1.178359032E0,1.191187263E0
5.118770449E0,-9.431759119E-1,3.170390725E-1,1.408044338E0
5.138719987E0,-9.865473509E-1,-2.168571651E-1,1.756848454E0
5.158692141E0,-1.370781660E0,1.850921661E-1,2.009135723E0
5.178668333E0,-1.828319669E0,1.009760261E0,2.055561543E0
5.198660756E0,-2.390926600E0,1.064738154E0,2.177123785E0
5.218628141E0,-2.795319319E0,2.577851415E-1,2.661539793E0
5.238597910E0,-2.371378899E0,-1.127657294E0,3.526525021E0
5.258555833E0,-2.301129341E0,-5.204572082E-1,4.684114933E0
5.278531333E0,-3.282178879E0,6.988298297E-1,4.580878258E0
5.298494333E0,-3.767816782E0,1.302364707E0,4.268726349E0
5.318476602E0,-3.517362118E0,1.555873752E0,4.499633312E0
5.338445333E0,-3.656028509E0,1.748296380E0,4.567439556E0
5.358421563E0,-4.766581535E0,1.975538254E0,3.671911001E0
5.378405448E0,-5.621181965E0,2.461176157E0,2.463619471E0
5.398378217E0,-5.920506001E0,3.412904024E0,1.861917257E0
5.418337063E0,-6.107430935E0,3.998723984E0,1.762957096E0
5.438337255E0,-6.326731205E0,3.497203588E0,1.870469332E0
5.458311102E0,-6.236323357E0,2.637716055E0,1.564425945E0
5.478283871E0,-5.900958061E0,2.365270138E0,9.627236128E-1
5.498269794E0,-5.684101105E0,2.918103218E0,3.610213697E-1
5.518247140E0,-5.472741604E0,3.332269907E0,-2.107485086E-1
5.538215409E0,-4.981606007E0,2.888170958E0,-6.896668673E-1
5.558200217E0,-4.186259747E0,1.959655762E0,-9.303477407E-1
5.578159409E0,-3.119688749E0,1.772730947E0,-1.613295078E0
5.598135678E0,-3.057380438E0,1.762346268E0,-2.067167997E0
5.618117601E0,-3.346319914E0,1.065959811E0,-2.199725866E0
5.638087947E0,-3.640146017E0,3.243694305E-1,-2.014633656E0
5.658066408E0,-3.694513083E0,-4.092797041E-1,-1.714698792E0
5.678060062E0,-3.436116934E0,-8.851437569E-1,-1.505782843E0
5.698029254E0,-3.277292013E0,-1.241889000E0,-1.393994451E0
5.717997947E0,-3.131906033E0,-1.355509996E0,-1.427592039E0
5.737957947E0,-2.999959230E0,-1.161254883E0,-1.542434692E0
5.757935716E0,-2.932764053E0,-1.163087368E0,-1.511280656E0
5.777902370E0,-2.858849287E0,-1.433089852E0,-1.313360333E0
5.797892793E0,-2.730567694E0,-1.463633180E0,-9.883799553E-1
5.817877062E0,-2.574796915E0,-1.304197311E0,-8.069530129E-1
5.837864254E0,-2.504547596E0,-9.896016717E-1,-7.525860071E-1
5.857849023E0,-2.437352419E0,-1.046412110E0,-6.139195561E-1
5.877820831E0,-2.051896334E0,-1.299310327E0,-4.147774875E-1
5.897800215E0,-1.656666517E0,-1.131322384E0,-4.563163519E-1
5.917786292E0,-1.916895151E0,-7.861835957E-1,-8.234463334E-1
5.937754292E0,-2.069000483E0,-4.789183438E-1,-1.059240341E0
5.957725253E0,-1.767843962E0,-1.881465018E-1,-8.967501521E-1
5.977710830E0,-1.354899168E0,1.007927656E-1,-5.222898126E-1
5.997685561E0,-1.048244715E0,2.687807083E-1,-1.582140923E-1
6.017652407E0,-7.165449262E-1,1.221730490E-3,1.252273768E-1
6.037635099E0,-4.318817258E-1,-4.691445231E-1,4.459316432E-1
6.057587715E0,-3.371976018E-1,-7.580837607E-1,7.953465581E-1
6.077560176E0,-1.423316002E-1,-6.377432942E-1,9.334021211E-1
6.097540791E0,9.834930301E-2,-3.512475193E-1,8.167268038E-1
6.117511407E0,2.150245607E-1,-1.221730467E-2,6.914994717E-1
6.137485868E0,3.891211748E-1,4.520402849E-2,8.307767510E-1
6.157482522E0,7.385360599E-1,-3.579670191E-1,1.121548533E0
6.177456291E0,1.122159481E0,-4.037819207E-1,1.365894675E0
6.197429330E0,1.348179579E0,1.111774743E-1,1.526552200E0
6.217388099E0,1.475239515E0,1.820378453E-1,1.736689925E0
6.237367637E0,1.734246373E0,-1.637118906E-1,2.114815474E0
6.257337137E0,2.210110426E0,-3.714060783E-1,2.561968803E0
6.277323060E0,2.525316954E0,-8.674286306E-2,2.647490025E0
6.297293598E0,2.514321327E0,-2.443460934E-2,2.515542984E0
6.317271791E0,2.663983345E0,-2.058615834E-1,2.536923409E0
6.337252598E0,3.034778595E0,-6.994407177E-1,2.598620653E0
6.357233637E0,3.283400774E0,-1.186911225E0,2.490497589E0
6.377200983E0,3.523470640E0,-1.056185961E0,2.398867846E0
6.397194790E0,3.667024136E0,-8.045095205E-1,2.331061840E0
6.417166098E0,3.825238228E0,-1.219287038E0,2.213164806E0
6.437150598E0,4.091575623E0,-2.075720072E0,2.016466141E0
6.457128021E0,4.181983471E0,-2.407419920E0,2.004248857E0
6.477104098E0,4.142888069E0,-2.117869854E0,1.420261741E0
6.497069598E0,4.040873528E0,-1.768454909E0,6.530149579E-1
6.517055713E0,4.060421467E0,-1.301753879E0,5.864306539E-2
6.537016059E0,3.851505280E0,-1.244943380E0,7.391469181E-2
6.556997482E0,3.361591339E0,-2.296853304E0,5.558873713E-2
6.576983059E0,3.472157955E0,-3.884492159E0,-3.164281845E-1
6.596954059E0,3.862500906E0,-3.081204414E0,-9.010262489E-1
6.616928482E0,3.510031700E0,-9.114109278E-1,-1.321912408E0
6.636920251E0,3.211318493E0,3.793473244E-1,-1.456302762E0
6.656889520E0,3.263242245E0,-2.803871334E-1,-1.442252874E0
6.676860712E0,3.528968573E0,-1.721418262E0,-1.412320495E0
6.696821481E0,3.682906628E0,-2.596788168E0,-1.249219418E0
6.716798251E0,3.486207962E0,-2.590679407E0,-1.381777167E0
6.736767289E0,2.990796328E0,-1.894904017E0,-1.788002610E0
6.756752481E0,2.700024366E0,-1.189354658E0,-2.059226751E0
6.776721904E0,2.788599730E0,-1.496008992E0,-2.147802114E0
6.796696635E0,3.176499367E0,-2.231490850E0,-2.060448408E0
6.816677289E0,3.241861820E0,-2.853351593E0,-1.817324162E0
6.836645058E0,1.869247675E0,-3.093421698E0,-1.439198494E0
6.856598327E0,1.167974353E0,-3.089145660E0,-1.727526903E0
6.876586673E0,1.183856845E0,-2.685363531E0,-1.918727756E0
6.896549942E0,1.581530094E0,-2.064724445E0,-1.919338584E0
6.916512788E0,1.871691108E0,-1.942551494E0,-2.027461767E0
6.936489981E0,1.795943856E0,-2.413528681E0,-2.194838762E0
6.956460173E0,1.557706356E0,-2.965139866E0,-2.354274750E0
6.976428403E0,1.392161846E0,-3.254689932E0,-2.714685202E0
6.996409557E0,1.264491081E0,-3.040887117E0,-3.335324287E0
7.016362980E0,1.152091861E0,-2.321898699E0,-3.915646315E0
7.036337711E0,1.107498646E0,-1.489289522E0,-4.048203945E0
7.056321903E0,1.297477722E0,-8.491026759E-1,-3.955963373E0
7.076288865E0,1.568701982E0,-3.769038618E-1,-4.009719372E0
7.096259057E0,1.707368374E0,-4.257730842E-1,-4.097073078E0
7.116248211E0,1.702481389E0,-8.735373020E-1,-3.910759211E0
7.136218980E0,1.571145415E0,-1.148426652E0,-3.350595951E0
7.156186095E0,1.217454433E0,-9.162978530E-1,-2.904664278E0
7.176144210E0,9.932668805E-1,-6.279694438E-1,-2.384207010E0
7.196120556E0,1.042136073E0,-5.070181489E-1,-1.811215401E0
7.216089864E0,9.724974632E-1,-7.415903807E-1,-1.265101910E0
7.236074672E0,6.688974500E-1,-7.226535678E-1,-9.902125597E-1
7.256044825E0,3.677408695E-1,-3.665191531E-1,-9.926560521E-1
7.276021902E0,1.246165112E-1,-2.119702399E-1,-9.944885969E-1
7.296010056E0,-5.619960278E-2,-1.325577646E-1,-7.305948138E-1
7.315983133E0,-9.529497474E-2,-8.185594529E-2,-2.076941878E-1
7.335941979E0,2.076941915E-2,-1.869247705E-1,3.414736688E-1
7.355933902E0,2.021963894E-1,-2.058615834E-1,6.908885837E-1
7.375902094E0,2.235766798E-1,-1.588249579E-2,8.038986921E-1
7.395871363E0,1.026253626E-1,4.300491214E-1,6.322455406E-1
7.415855709E0,-1.172861308E-1,9.932668805E-1,4.801400900E-1
7.435835286E0,-3.836233616E-1,1.331686258E0,5.723807216E-1
7.455805248E0,-5.619960427E-1,1.348179579E0,1.070846796E0
7.475791363E0,-5.393940210E-1,1.043357849E0,1.410487890E0
7.495748863E0,-4.367686510E-1,6.298020482E-1,1.714698792E0
7.515727017E0,-2.852740586E-1,4.715879560E-1,1.923003793E0
7.535711478E0,-1.857030392E-1,7.250970602E-1,1.998751044E0
7.555682670E0,-4.135557711E-1,9.065240026E-1,2.051896334E0
7.575651747E0,-8.668177724E-1,1.197906733E0,2.076941729E0
7.595644016E0,-1.202793717E0,1.582751870E0,2.125200272E0
7.615625209E0,-9.248499870E-1,1.039081812E0,2.514932156E0
7.635591824E0,-3.200933933E-1,2.223549485E-1,3.062267542E0
7.655544401E0,-3.805690408E-1,3.365867436E-1,3.266296387E0
7.675516939E0,-1.269988894E0,1.582141042E0,3.066543579E0
7.695484555E0,-2.264477491E0,2.766608715E0,2.660318136E0
7.715466939E0,-2.598620653E0,2.813034534E0,2.497828007E0
7.735468477E0,-2.472171545E0,1.897347450E0,2.605951071E0
7.755445208E0,-2.278527260E0,1.442863703E0,2.717128515E0
7.775422939E0,-3.233920574E0,1.717753053E0,2.015855312E0
7.795396977E0,-3.982841492E0,2.164906502E0,1.504561067E0
7.815351093E0,-4.244902611E0,2.536923409E0,1.547321677E0
7.835340246E0,-4.257730961E0,2.613281488E0,1.890627980E0
7.855309208E0,-4.478252888E0,2.193617105E0,1.981035948E0
7.875279054E0,-4.835609436E0,1.306640744E0,1.666440368E0
7.895263900E0,-5.064683914E0,8.289441466E-1,1.447750688E0
7.915243746E0,-5.173417568E0,1.103833556E0,1.593747377E0
7.935210284E0,-5.090950966E0,1.407433510E0,1.749518037E0
7.955192130E0,-4.721377373E0,1.160643935E0,2.325563908E0
7.975143092E0,-4.335921288E0,1.150259256E0,2.557692766E0
7.995119861E0,-4.108068943E0,8.833111525E-1,2.097100496E0
8.015099015E0,-4.268726349E0,1.041525245E0,1.390940189E0
8.035067169E0,-4.365853786E0,1.575421453E0,9.016370773E-1
8.055034745E0,-4.085466862E0,1.946216702E0,6.823364496E-1
8.075026053E0,-3.016452551E0,1.250441194E0,9.059131742E-1
8.094990822E0,-2.305405378E0,7.452555895E-1,1.067181587E0
8.114961014E0,-2.524095297E0,7.043276429E-1,6.462954283E-1
8.134911168E0,-3.335935116E0,5.082398653E-1,-4.948008433E-2
8.154884476E0,-3.981619596E0,2.663372457E-1,-5.980370641E-1
8.174846322E0,-3.941302538E0,1.704314053E-1,-7.605272532E-1
8.194829860E0,-3.400075912E0,-4.654793143E-1,-6.004805565E-1
8.214796360E0,-2.879007816E0,-9.468411207E-1,-2.718350291E-1
