"Time (s)","Acceleration (m/s²)"
2.664193878E0,-1.493578911E0
2.704155455E0,5.935587883E-1
2.744112916E0,-6.107559204E-1
2.784070301E0,-4.785728455E-1
2.824009993E0,2.572116852E-1
2.863967108E0,1.095453739E0
2.903974570E0,-1.318237782E0
2.943955493E0,-2.396396637E0
2.983945915E0,-1.254440784E0
3.023900992E0,-9.279203415E-1
3.063830954E0,-4.754338264E-1
3.103736877E0,-4.247446060E-1
3.143770838E0,-1.854648590E-1
3.183711492E0,-1.556011915E0
3.223671568E0,-1.812495708E0
3.263667530E0,-3.183317184E-1
3.303657645E0,1.438808441E-2
3.343618299E0,-8.203752041E-1
3.383621799E0,-7.671794891E-1
3.423584260E0,4.305408001E-1
3.463489183E0,-9.478678703E-1
3.503472760E0,-1.521215677E0
3.543443952E0,8.141579628E-1
3.583425875E0,-1.365602016E-1
3.623448951E0,-4.180855751E-1
3.663403259E0,-1.217168927E0
3.703339220E0,-1.602486372E0
3.743320643E0,4.259998798E-1
3.783293989E0,4.209041595E-3
3.823284912E0,-7.459731102E-1
3.863291720E0,-1.244696379E0
3.903226143E0,-1.710097075E0
3.943197912E0,1.011750460E0
3.983174219E0,8.892405033E-1
4.023132642E0,-1.300589323E0
4.063115027E0,-6.330268383E-1
4.103024296E0,1.889197826E-1
4.143028911E0,-7.694811821E-1
4.182965065E0,-3.423901796E-1
4.222943257E0,3.957650661E-1
4.262848911E0,1.090767384E-1
4.302806526E0,-4.258372784E-1
4.342740295E0,-4.384914637E-1
4.382696564E0,-1.283667088E-1
4.422593064E0,-4.457594156E-1
4.462555948E0,-1.600984335E0
4.502533064E0,-1.157402277E0
4.542481333E0,3.263905048E-1
4.582509909E0,-2.943252325E-1
4.622466217E0,6.332039833E-2
4.662412140E0,1.229357719E-2
4.702381409E0,6.238636971E-1
4.742295370E0,-6.320714951E-2
4.782261409E0,2.325999737E-1
4.822194985E0,5.962748528E-1
4.862154678E0,5.148589611E-1
4.902241331E0,-1.773588657E-1
4.942235946E0,-1.997969866E0
4.982190369E0,-1.566278696E0
5.022185523E0,1.171340942E0
5.062183715E0,1.446933031E0
5.102158138E0,-2.723415136E0
5.142128292E0,-3.781155825E0
5.182087330E0,4.407813549E-1
5.222045522E0,6.250157356E0
5.262001061E0,2.196078300E0
5.301973522E0,-3.729743242E0
5.341937868E0,1.076098442E0
5.381881906E0,-1.336958408E0
5.421836868E0,-1.766813517E0
5.461762752E0,7.331094742E-1
5.501737752E0,9.444770813E-1
5.541716675E0,5.066828728E-1
5.581674175E0,-4.369044304E-2
5.621626636E0,-5.425264835E-1
5.661579636E0,-1.756448746E-1
5.701539328E0,3.586888313E-2
5.741487290E0,-3.064322472E-2
5.781417097E0,-3.869962692E-2
5.821367520E0,2.615885735E-1
5.861263597E0,3.621304035E-1
5.901217520E0,2.236211300E-1
5.941146212E0,1.274080276E0
5.981098596E0,2.616114616E-1
6.020993827E0,-3.168699741E-1
6.060920942E0,-6.758718491E-1
6.100846788E0,7.043957710E-2
6.140812557E0,-1.589504719E0
6.180788865E0,-1.188551903E0
6.220733980E0,-5.563079119E-1
6.260652672E0,-2.924538851E-1
6.300603364E0,1.976969242E-1
6.340493595E0,8.797349930E-1
6.380457672E0,-2.837125063E-1
6.420383441E0,-1.976506710E-1
6.460330133E0,-5.658560991E-1
6.500226133E0,-1.573419571E-1
6.540176210E0,6.241075993E-1
6.580108171E0,-2.284252644E-2
6.620061402E0,-3.439586163E-1
6.659955440E0,-1.219428539E0
