"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.758202670E-1,4.251621962E-1,-2.158797741E0,-1.038470864E0,2.433021232E0
1.778203440E-1,4.715879560E-1,-2.069000483E0,-1.069014192E0,2.376120691E0
1.798184590E-1,5.558874011E-1,-1.886962771E0,-1.135598540E0,2.271392381E0
1.818186900E-1,6.243042946E-1,-1.709811807E0,-1.204626322E0,2.182736091E0
1.838170360E-1,6.548475623E-1,-1.626123309E0,-1.237612963E0,2.145877022E0
1.858508440E-1,7.024950385E-1,-1.464854836E0,-1.301142931E0,2.081411035E0
1.878464590E-1,7.415903807E-1,-1.318858027E0,-1.359786034E0,2.034296155E0
1.898461900E-1,7.525860071E-1,-1.246775985E0,-1.386053205E0,2.010467493E0
1.918447280E-1,7.727445364E-1,-1.122770309E0,-1.431257248E0,1.976422171E0
1.938447670E-1,7.922922373E-1,-1.023810148E0,-1.466076612E0,1.955836098E0
1.958434980E-1,7.996225953E-1,-9.908234477E-1,-1.474017859E0,1.947782341E0
1.978436130E-1,8.081747293E-1,-9.456194043E-1,-1.485624313E0,1.937633105E0
1.998418440E-1,8.124507666E-1,-9.224064946E-1,-1.490511179E0,1.931976595E0
2.018419980E-1,8.081747293E-1,-9.156870246E-1,-1.491122007E0,1.927452713E0
2.038468440E-1,8.020660877E-1,-9.169087410E-1,-1.493565559E0,1.927373791E0
2.058642670E-1,7.935139537E-1,-9.279043078E-1,-1.496619821E0,1.931461024E0
2.078597670E-1,7.892379165E-1,-9.419541955E-1,-1.497841597E0,1.937447714E0
2.098602670E-1,7.733554244E-1,-9.749409556E-1,-1.496008992E0,1.945926870E0
2.118589980E-1,7.556403279E-1,-1.008538485E0,-1.494176388E0,1.954662441E0
2.139001130E-1,7.483099103E-1,-1.029918790E0,-1.492954612E0,1.962043299E0
2.158963820E-1,7.244861722E-1,-1.065959811E0,-1.490511179E0,1.970475604E0
2.178964980E-1,6.927211881E-1,-1.105666041E0,-1.477072120E0,1.970812545E0
2.198952670E-1,6.792821288E-1,-1.126435518E0,-1.467909217E0,1.971050140E0
2.218956130E-1,6.450737119E-1,-1.161254883E0,-1.445307136E0,1.963045010E0
2.238942670E-1,5.968153477E-1,-1.191187263E0,-1.411709547E0,1.941143864E0
2.259173820E-1,5.711590052E-1,-1.207069755E0,-1.389718413E0,1.927318674E0
2.279130740E-1,5.131267905E-1,-1.231504321E0,-1.342070937E0,1.892367934E0
2.299129590E-1,4.508185387E-1,-1.255328059E0,-1.287703991E0,1.853986909E0
2.319111900E-1,4.208861589E-1,-1.267545342E0,-1.260215044E0,1.836289278E0
2.339111900E-1,3.494149148E-1,-1.279762745E0,-1.199739337E0,1.788646959E0
2.359100360E-1,3.127630055E-1,-1.280984402E0,-1.169806957E0,1.762722341E0
2.379102280E-1,2.400700450E-1,-1.278540969E0,-1.106887817E0,1.708069459E0
2.399092670E-1,1.612684280E-1,-1.262658477E0,-1.043357849E0,1.645876525E0
2.419096130E-1,1.233947799E-1,-1.254106402E0,-1.009760261E0,1.614814207E0
2.439083820E-1,4.642575979E-2,-1.227228284E0,-9.431759119E-1,1.548491334E0
2.459406510E-1,-2.687807009E-2,-1.201571941E0,-8.778133392E-1,1.488305688E0
2.479360740E-1,-6.352998316E-2,-1.188743711E0,-8.436049223E-1,1.459046584E0
2.499358050E-1,-1.325577646E-1,-1.171028733E0,-7.880161405E-1,1.417691537E0
2.519415740E-1,-1.905899495E-1,-1.163698316E0,-7.354817390E-1,1.389766774E0
2.539415360E-1,-2.174680233E-1,-1.165530920E0,-7.122688890E-1,1.383141944E0
2.559397280E-1,-2.651155293E-1,-1.174082994E0,-6.688974500E-1,1.377018853E0
2.579396900E-1,-2.981022298E-1,-1.186300278E0,-6.304129362E-1,1.376079125E0
2.599382670E-1,-3.097086847E-1,-1.192408919E0,-6.126978397E-1,1.375920471E0
2.619386130E-1,-3.188716471E-1,-1.206458807E0,-5.815436840E-1,1.376740730E0
2.639370360E-1,-3.145956099E-1,-1.219287038E0,-5.503895879E-1,1.374248877E0
2.659556130E-1,-3.060434759E-1,-1.222952247E0,-5.363397002E-1,1.370012803E0
2.679510360E-1,-2.773328125E-1,-1.230282545E0,-5.112941861E-1,1.360856486E0
2.699508430E-1,-2.376265824E-1,-1.236391306E0,-4.905247986E-1,1.351201107E0
2.719493050E-1,-2.150245607E-1,-1.238223910E0,-4.770857692E-1,1.344263681E0
2.739496130E-1,-1.588249654E-1,-1.236391306E0,-4.605923891E-1,1.328922187E0
2.759488430E-1,-9.957103431E-2,-1.227228284E0,-4.459316432E-1,1.309526129E0
2.779486130E-1,-6.719517708E-2,-1.216232657E0,-4.416555762E-1,1.295683880E0
2.799474590E-1,-3.054326167E-3,-1.189354658E0,-4.324925840E-1,1.265552712E0
2.819473820E-1,5.681046844E-2,-1.144761443E0,-4.269948006E-1,1.223123359E0
2.839463430E-1,8.857546002E-2,-1.114829063E0,-4.276056588E-1,1.197303659E0
2.859733050E-1,1.392772794E-1,-1.050077319E0,-4.269948006E-1,1.142096798E0
2.879694590E-1,1.838704348E-1,-9.676105380E-1,-4.276056588E-1,1.073743493E0
2.899703050E-1,2.040289938E-1,-9.230173826E-1,-4.288274050E-1,1.038018238E0
2.919690360E-1,2.394591719E-1,-8.344419003E-1,-4.294382632E-1,9.685304341E-1
2.939702280E-1,2.559525371E-1,-7.892379165E-1,-4.294382632E-1,9.342512574E-1
2.959692280E-1,2.828305960E-1,-7.024950385E-1,-4.337143302E-1,8.726972816E-1
2.979696510E-1,3.017674387E-1,-6.285803318E-1,-4.379903674E-1,8.234150730E-1
2.999763050E-1,3.109304011E-1,-5.974262357E-1,-4.398229718E-1,8.043880083E-1
3.019766890E-1,3.243694305E-1,-5.540547967E-1,-4.465425014E-1,7.820437653E-1
3.039762280E-1,3.396410644E-1,-5.259549618E-1,-4.557054639E-1,7.743720968E-1
3.059723430E-1,3.451388776E-1,-5.198463202E-1,-4.605923891E-1,7.755684305E-1
3.079687280E-1,3.579670191E-1,-5.253441334E-1,-4.715879560E-1,7.915314557E-1
3.099694970E-1,3.720169365E-1,-5.485569835E-1,-4.844161272E-1,8.209569718E-1
3.119683820E-1,3.817907870E-1,-5.662720799E-1,-4.917465150E-1,8.415716895E-1
3.139688430E-1,4.013384581E-1,-6.065891981E-1,-5.057964325E-1,8.859193216E-1
3.159677660E-1,4.208861589E-1,-6.579018831E-1,-5.210680366E-1,9.388780247E-1
3.179683050E-1,4.294382632E-1,-6.853908300E-1,-5.277875662E-1,9.657833747E-1
3.199676510E-1,4.483750761E-1,-7.415903807E-1,-5.345070958E-1,1.018181878E0
3.219680360E-1,4.642575979E-1,-8.020660877E-1,-5.400048494E-1,1.072590492E0
3.239674970E-1,4.715879560E-1,-8.301658630E-1,-5.418374538E-1,1.097797061E0
3.259969970E-1,4.770857692E-1,-8.863654733E-1,-5.412266254E-1,1.142882690E0
3.279926120E-1,4.776966274E-1,-9.370672703E-1,-5.283984542E-1,1.177070118E0
3.299927660E-1,4.740314186E-1,-9.596692920E-1,-5.186246037E-1,1.189387412E0
3.319915740E-1,4.667010605E-1,-1.006705880E0,-4.960225821E-1,1.215444368E0
3.339922280E-1,4.495968223E-1,-1.048244715E0,-4.728097022E-1,1.234707779E0
3.359909200E-1,4.447098970E-1,-1.071457624E0,-4.569272101E-1,1.246824289E0
3.379909590E-1,4.202753007E-1,-1.105055213E0,-4.294382632E-1,1.257853558E0
3.399893430E-1,3.940080702E-1,-1.133154988E0,-3.958406746E-1,1.263318023E0
3.419893820E-1,3.707951903E-1,-1.142318010E0,-3.805690408E-1,1.259846143E0
3.439878820E-1,3.408628106E-1,-1.151481032E0,-3.506366611E-1,1.251016423E0
3.460073050E-1,3.182607889E-1,-1.150259256E0,-3.378084898E-1,1.240363198E0
3.480019200E-1,2.767219543E-1,-1.136209369E0,-3.152064681E-1,1.211157251E0
3.500019970E-1,2.162462920E-1,-1.097724795E0,-2.968805134E-1,1.157540593E0
3.520007280E-1,1.918116808E-1,-1.071457624E0,-2.840523422E-1,1.124943952E0
3.540006120E-1,1.233947799E-1,-1.010371089E0,-2.590068579E-1,1.050314506E0
3.559988050E-1,5.558873713E-2,-9.468411207E-1,-2.419026345E-1,9.788335406E-1
3.579986510E-1,1.404990070E-2,-9.175195694E-1,-2.370157093E-1,9.477425845E-1
3.599964590E-1,-6.658431143E-2,-8.949176073E-1,-2.467895597E-1,9.307073016E-1
3.619965740E-1,-1.447750628E-1,-8.698720932E-1,-2.528982162E-1,9.173847530E-1
3.639950350E-1,-1.869247705E-1,-8.491026759E-1,-2.565633953E-1,9.064993105E-1
3.660250740E-1,-2.590068579E-1,-7.977899909E-1,-2.571742535E-1,8.773209325E-1
3.680203050E-1,-3.292563558E-1,-7.519751191E-1,-2.638937831E-1,8.622738871E-1
3.700201120E-1,-3.488040566E-1,-7.330383062E-1,-2.657263875E-1,8.541779331E-1
3.720184970E-1,-4.135557711E-1,-6.725626588E-1,-2.712241709E-1,8.348242071E-1
3.740582280E-1,-4.721988440E-1,-6.047565937E-1,-2.748893499E-1,8.150254233E-1
3.760533430E-1,-4.972442985E-1,-5.711590052E-1,-2.767219543E-1,8.062564986E-1
3.780532280E-1,-5.564982295E-1,-4.960225821E-1,-2.797762752E-1,7.962433331E-1
3.800514970E-1,-6.243042946E-1,-4.111123085E-1,-2.840523422E-1,7.996592496E-1
3.820514580E-1,-6.560692787E-1,-3.683517575E-1,-2.840523422E-1,8.042360654E-1
3.840497660E-1,-7.195992470E-1,-2.889392674E-1,-2.773328125E-1,8.235426312E-1
3.860701120E-1,-7.220427394E-1,-3.469714522E-1,-2.645046413E-1,8.436217230E-1
3.880653430E-1,-6.750060916E-1,-4.844161272E-1,-2.528982162E-1,8.684755125E-1
3.900650350E-1,-5.681046844E-1,-8.246681094E-1,-2.284636050E-1,1.027139738E0
3.920629580E-1,-5.033529401E-1,-1.074512005E0,-2.138028294E-1,1.205674865E0
3.940624580E-1,-4.721988440E-1,-1.171028733E0,-2.040289938E-1,1.279026142E0
3.960678810E-1,-3.976732790E-1,-1.395216227E0,-1.576032341E-1,1.459318723E0
3.980673430E-1,-3.158173263E-1,-1.632842779E0,-9.101892263E-2,1.665593158E0
4.000656890E-1,-2.785545588E-1,-1.734857321E0,-5.314527452E-2,1.757881391E0
4.020653810E-1,-2.327396572E-1,-1.886962771E0,3.359758854E-2,1.901558584E0
4.040636510E-1,-2.089159191E-1,-1.982257724E0,1.368338168E-1,1.997927686E0
4.060796890E-1,-1.997529417E-1,-2.021964073E0,1.942551434E-1,2.041072025E0
4.080747280E-1,-1.899790913E-1,-2.095267773E0,3.353650272E-1,2.130424558E0
4.100749200E-1,-1.930334121E-1,-2.154521704E0,4.111123085E-1,2.201871704E0
4.120736510E-1,-1.979203373E-1,-2.219273329E0,5.186246037E-1,2.287644651E0
4.140736510E-1,-2.058615834E-1,-2.238821030E0,5.760459304E-1,2.320889379E0
4.160726120E-1,-2.186897546E-1,-2.237599373E0,5.907067060E-1,2.324566750E0
4.180728430E-1,-2.461786866E-1,-2.219273329E0,6.102544069E-1,2.314776122E0
4.200719580E-1,-2.797762752E-1,-2.189341068E0,6.114761233E-1,2.290282106E0
4.220718810E-1,-2.981022298E-1,-2.171015024E0,6.004805565E-1,2.272168144E0
4.240709580E-1,-3.414736688E-1,-2.139250040E0,5.821545720E-1,2.243189458E0
4.261055740E-1,-3.793473244E-1,-2.118480682E0,5.852088928E-1,2.230321556E0
4.281019580E-1,-4.037819207E-1,-2.119091511E0,6.004805565E-1,2.239233255E0
4.301023810E-1,-4.214970171E-1,-2.153300047E0,6.499606371E-1,2.288407669E0
4.321014200E-1,-4.227187634E-1,-2.196060658E0,7.031059265E-1,2.344297658E0
4.341018430E-1,-4.233296216E-1,-2.216830015E0,7.202101350E-1,2.369017924E0
4.361012660E-1,-4.178318381E-1,-2.249205828E0,7.507534027E-1,2.407725269E0
4.381015740E-1,-4.141666293E-1,-2.265699148E0,7.672467232E-1,2.427672581E0
4.401002660E-1,-4.068362415E-1,-2.267531872E0,7.788531780E-1,2.431836506E0
4.421001890E-1,-3.891211748E-1,-2.262644768E0,8.167268038E-1,2.436805143E0
4.441047270E-1,-3.585779071E-1,-2.228436470E0,8.472700715E-1,2.410886515E0
4.461221120E-1,-3.396410644E-1,-2.188730240E0,8.558222055E-1,2.374516322E0
4.481177270E-1,-2.950479090E-1,-2.090380907E0,8.600982428E-1,2.279586496E0
4.501178430E-1,-2.522873580E-1,-1.959655762E0,8.527678847E-1,2.152002017E0
4.521170740E-1,-2.327396572E-1,-1.881464958E0,8.417723179E-1,2.074285123E0
4.541175350E-1,-2.101376504E-1,-1.715920448E0,8.185594082E-1,1.912741572E0
4.561162660E-1,-2.009746730E-1,-1.626123309E0,8.038986921E-1,1.825081078E0
4.581166120E-1,-1.832595766E-1,-1.453248382E0,7.867944241E-1,1.662696724E0
4.601156120E-1,-1.692096740E-1,-1.288314819E0,7.751879692E-1,1.513044406E0
4.621156120E-1,-1.612684280E-1,-1.205237150E0,7.709119320E-1,1.439760154E0
4.641139970E-1,-1.301143020E-1,-1.056796908E0,7.727445364E-1,1.315630478E0
4.661344970E-1,-1.020144969E-1,-9.101892114E-1,7.684684992E-1,1.195573165E0
4.681308430E-1,-8.979719132E-2,-8.338310719E-1,7.611380816E-1,1.132549765E0
4.701312270E-1,-6.902777404E-2,-6.927211881E-1,7.452555895E-1,1.019820264E0
4.721302660E-1,-5.253441259E-2,-5.723807216E-1,7.214318514E-1,9.224117687E-1
4.741304200E-1,-4.948008433E-2,-5.192354321E-1,7.122688890E-1,8.828253977E-1
4.761288430E-1,-4.764748737E-2,-4.276056588E-1,6.921103001E-1,8.149438937E-1
4.781284970E-1,-5.742133409E-2,-3.506366611E-1,6.640105247E-1,7.530957805E-1
4.801269580E-1,-7.024950534E-2,-3.188716471E-1,6.524040699E-1,7.295513627E-1
4.821271890E-1,-1.014036313E-1,-2.663372457E-1,6.340781450E-1,6.951786237E-1
4.841261120E-1,-1.423316002E-1,-2.437352389E-1,6.236934066E-1,6.845864566E-1
4.861592660E-1,-1.643227488E-1,-2.486221492E-1,6.206390858E-1,6.884822537E-1
4.881548810E-1,-2.186897546E-1,-2.748893499E-1,6.273586154E-1,7.190050040E-1
4.901549200E-1,-2.834414840E-1,-3.292563558E-1,6.517932415E-1,7.833155509E-1
4.921600350E-1,-3.176499307E-1,-3.659082949E-1,6.670648456E-1,8.244791489E-1
4.941602660E-1,-3.982841372E-1,-4.538728893E-1,7.031059265E-1,9.268164853E-1
4.961590730E-1,-4.917465150E-1,-5.632177591E-1,7.452555895E-1,1.055667927E0
4.981594580E-1,-5.332853794E-1,-6.126978397E-1,7.635815740E-1,1.114831269E0
5.001583430E-1,-6.169738770E-1,-7.299839854E-1,8.081747293E-1,1.251670794E0
5.021586890E-1,-7.067710757E-1,-8.436049223E-1,8.680394888E-1,1.401672991E0
5.041577270E-1,-7.513642311E-1,-9.004153609E-1,9.016370773E-1,1.479271932E0
5.061768430E-1,-8.307767510E-1,-1.007316828E0,9.676105380E-1,1.625160717E0
5.081725730E-1,-9.175195694E-1,-1.109331250E0,1.056796908E0,1.785854890E0
5.101726500E-1,-9.615018964E-1,-1.156367898E0,1.098946571E0,1.862620782E0
5.121716120E-1,-1.010371089E0,-1.211956620E0,1.184467673E0,1.972980551E0
5.141716890E-1,-1.031751394E0,-1.238223910E0,1.230282545E0,2.027635207E0
5.161710730E-1,-1.080009699E0,-1.259604096E0,1.333518863E0,2.128684097E0
5.181713040E-1,-1.111774802E0,-1.247997642E0,1.432479024E0,2.201258158E0
5.201701890E-1,-1.138652802E0,-1.229671717E0,1.489289522E0,2.242009370E0
5.221704190E-1,-1.169806957E0,-1.220508814E0,1.600466967E0,2.328000127E0
5.241693040E-1,-1.211345792E0,-1.243721604E0,1.702481389E0,2.431593086E0
5.261864960E-1,-1.229671717E0,-1.257160664E0,1.752572417E0,2.482751607E0
5.281819190E-1,-1.282206178E0,-1.274875760E0,1.846645594E0,2.584465290E0
5.301822270E-1,-1.334129691E0,-1.301753879E0,1.940108061E0,2.690443176E0
5.321810350E-1,-1.361618638E0,-1.331075311E0,1.984701157E0,2.750419146E0
5.342220350E-1,-1.412931323E0,-1.388496757E0,2.075720072E0,2.869305139E0
5.362173810E-1,-1.466076612E0,-1.445918083E0,2.160019398E0,2.984249242E0
5.382178420E-1,-1.492954612E0,-1.474628687E0,2.201558352E0,3.041430981E0
5.402239960E-1,-1.552819490E0,-1.522887111E0,2.280970812E0,3.151707690E0
5.422240730E-1,-1.607186437E0,-1.441031098E0,2.351831198E0,3.192292100E0
5.442229580E-1,-1.635286212E0,-1.390329242E0,2.390315771E0,3.212597996E0
5.462585350E-1,-1.662164330E0,-1.222952247E0,2.461786985E0,3.212288533E0
5.482540350E-1,-1.689653277E0,-1.026864529E0,2.547307968E0,3.224617317E0
5.502539190E-1,-1.707368374E0,-9.621127844E-1,2.573575258E0,3.234819529E0
5.522522270E-1,-1.729359508E0,-8.081747293E-1,2.607172966E0,3.231281723E0
5.542520350E-1,-1.764178872E0,-6.078109145E-1,2.629163980E0,3.224013715E0
5.562503810E-1,-1.779450417E0,-5.033529401E-1,2.640770435E0,3.223891509E0
5.582503040E-1,-1.794111252E0,-2.987131178E-1,2.666426897E0,3.227676735E0
5.602486890E-1,-1.812437177E0,-1.643227488E-1,2.682920218E0,3.241911686E0
5.622481120E-1,-1.827097893E0,-1.130100712E-1,2.684752703E0,3.249454579E0
5.642461120E-1,-1.860084653E0,-3.115412779E-2,2.688417912E0,3.269323533E0
5.662630350E-1,-1.908343077E0,-1.832595794E-3,2.687807083E0,3.296374307E0
