"Frequency (Hz)","Rel. amplitude (a.u.)"
6.967425650E-1,5.062648099E-1
6.967364409E-1,5.060972918E-1
6.967364409E-1,5.060972918E-1
6.967394531E-1,5.059605398E-1
6.967363786E-1,5.059606460E-1
6.967363786E-1,5.059606460E-1
6.967351464E-1,5.059699149E-1
6.967387684E-1,5.057364081E-1
6.967387684E-1,5.057364081E-1
6.967359118E-1,5.051570794E-1
6.967367833E-1,5.044099214E-1
6.967367833E-1,5.044099214E-1
6.967374118E-1,5.034360923E-1
6.967374430E-1,5.024624049E-1
6.967374430E-1,5.024624049E-1
6.967340634E-1,5.013268953E-1
6.967340634E-1,5.013268953E-1
6.967356381E-1,5.003790744E-1
6.967356381E-1,5.003790744E-1
6.967356567E-1,4.997525903E-1
6.967462185E-1,4.993170524E-1
6.967434425E-1,4.988580591E-1
6.967464797E-1,4.981548334E-1
6.967449736E-1,4.973930599E-1
6.967459880E-1,4.967972272E-1
6.967456270E-1,4.960233295E-1
6.967462992E-1,4.949759493E-1
6.967462992E-1,4.949759493E-1
6.967472266E-1,4.935246381E-1
6.967510418E-1,4.920047610E-1
6.967475253E-1,4.911598490E-1
6.967475253E-1,4.911598490E-1
6.967525293E-1,4.905526134E-1
6.967525293E-1,4.905526134E-1
6.967552492E-1,4.899114359E-1
6.967627366E-1,4.894078976E-1
6.967627366E-1,4.894078976E-1
6.967637387E-1,4.891045190E-1
6.967668072E-1,4.889817709E-1
6.967668072E-1,4.889817709E-1
6.967665396E-1,4.887549996E-1
6.967702803E-1,4.880545254E-1
6.967702803E-1,4.880545254E-1
6.967663279E-1,4.870682605E-1
6.967716000E-1,4.864249997E-1
6.967716000E-1,4.864249997E-1
6.967715189E-1,4.859065379E-1
6.967715252E-1,4.856306334E-1
6.967715252E-1,4.856306334E-1
6.967688613E-1,4.855849216E-1
