"Frequency (Hz)","Absolute Amplitude (a.u.)"
6.023437500E3,3.784657490E-2
6.046875000E3,1.472271160E-1
6.070312500E3,1.315406735E-1
6.093750000E3,2.323995976E-1
6.117187500E3,2.106097113E-1
6.140625000E3,2.393214013E-1
6.164062500E3,2.153500304E-1
6.187500000E3,9.854419932E-2
6.210937500E3,1.648498558E-1
6.234375000E3,2.067849536E-1
6.257812500E3,9.209834194E-2
6.281250000E3,9.175065507E-2
6.304687500E3,2.742886331E-1
6.328125000E3,7.295269377E-2
6.351562500E3,1.138692515E-1
6.375000000E3,1.645533019E-1
6.398437500E3,5.394675743E-2
6.421875000E3,7.578967900E-2
6.445312500E3,1.556303955E-1
6.468750000E3,3.025431768E-1
6.492187500E3,7.247884830E-2
6.515625000E3,1.867258842E-1
6.539062500E3,9.141509104E-2
6.562500000E3,7.336372050E-3
6.585937500E3,1.405937789E-1
6.609375000E3,1.286667172E-1
6.632812500E3,1.336356973E-1
6.656250000E3,9.673510462E-2
6.679687500E3,8.538807822E-2
6.703125000E3,1.386858643E-1
6.726562500E3,2.879631132E-2
6.750000000E3,7.376950103E-2
6.773437500E3,9.838885993E-3
6.796875000E3,4.096913830E-2
6.820312500E3,7.000171413E-2
6.843750000E3,7.138428913E-2
6.867187500E3,8.756332516E-2
6.890625000E3,1.096066040E-1
6.914062500E3,4.163709539E-2
6.937500000E3,1.924095571E-1
6.960937500E3,2.779985574E-1
6.984375000E3,6.393042603E-2
7.007812500E3,8.678629636E-2
7.031250000E3,1.260487691E-1
7.054687500E3,1.920412744E-1
7.078125000E3,5.807839502E-2
7.101562500E3,4.967724489E-2
7.125000000E3,5.728984306E-2
7.148437500E3,7.675095732E-2
7.171875000E3,1.175610942E-1
7.195312500E3,1.290408504E-1
7.218750000E3,3.682453576E-2
7.242187500E3,3.824515197E-2
7.265625000E3,2.608521353E-2
7.289062500E3,9.296377559E-2
7.312500000E3,1.381740683E-1
7.335937500E3,2.416774524E-1
7.359375000E3,1.905289230E-1
7.382812500E3,8.659608105E-2
7.406250000E3,1.715955150E-1
7.429687500E3,3.112714501E-2
7.453125000E3,1.782973867E-1
7.476562500E3,1.896506673E-1
7.500000000E3,6.606134507E-2
7.523437500E3,7.495450763E-2
7.546875000E3,4.589670116E-2
7.570312500E3,1.079075422E-1
7.593750000E3,1.071307036E-1
7.617187500E3,1.534337360E-1
7.640625000E3,1.792674691E-1
7.664062500E3,5.741163630E-2
7.687500000E3,4.431245498E-2
7.710937500E3,1.305226134E-1
7.734375000E3,6.015418132E-2
7.757812500E3,1.174025345E-1
7.781250000E3,1.130240611E-1
7.804687500E3,2.633110118E-2
7.828125000E3,1.566069375E-1
7.851562500E3,8.569138075E-2
7.875000000E3,3.794088319E-2
7.898437500E3,2.067209890E-1
7.921875000E3,7.389883134E-2
7.945312500E3,7.405801064E-2
7.968750000E3,1.558225847E-2
7.992187500E3,1.210281623E-1
8.015625000E3,1.362121326E-1
8.039062500E3,8.518729986E-2
8.062500000E3,1.012120426E-1
8.085937500E3,1.359551335E-1
8.109375000E3,6.740808051E-2
8.132812500E3,8.611686385E-2
8.156250000E3,1.361718771E-1
8.179687500E3,3.536829638E-2
8.203125000E3,5.828019616E-2
8.226562500E3,5.499405988E-2
8.250000000E3,7.360625817E-2
8.273437500E3,8.497517351E-2
8.296875000E3,3.377369295E-2
8.320312500E3,5.209951849E-2
8.343750000E3,8.969899606E-2
8.367187500E3,2.331213443E-2
8.390625000E3,1.362506936E-1
8.414062500E3,6.946002054E-2
8.437500000E3,4.707219377E-2
8.460937500E3,6.303182836E-2
8.484375000E3,8.128126911E-2
8.507812500E3,3.190318447E-2
8.531250000E3,4.113149539E-2
8.554687500E3,3.539883017E-2
8.578125000E3,8.350893905E-2
8.601562500E3,5.346393142E-2
8.625000000E3,3.215600350E-2
8.648437500E3,4.796478122E-2
8.671875000E3,3.314463968E-2
8.695312500E3,5.835928302E-2
8.718750000E3,3.254892186E-2
8.742187500E3,4.455266442E-2
8.765625000E3,7.397526909E-2
8.789062500E3,1.451577837E-2
8.812500000E3,2.255639170E-2
8.835937500E3,2.817751463E-2
8.859375000E3,2.721458907E-2
8.882812500E3,6.193524249E-2
8.906250000E3,1.759495830E-2
8.929687500E3,4.944166959E-3
8.953125000E3,3.754100686E-2
8.976562500E3,2.227918022E-2
9.000000000E3,2.970636853E-2
9.023437500E3,9.291039607E-3
9.046875000E3,2.864790182E-2
9.070312500E3,7.126013875E-3
9.093750000E3,2.874082939E-2
9.117187500E3,2.282040560E-3
9.140625000E3,4.254235959E-3
9.164062500E3,8.521948647E-3
9.187500000E3,8.025947083E-3
9.210937500E3,4.996133884E-2
9.234375000E3,5.473703556E-3
9.257812500E3,1.961143444E-2
9.281250000E3,3.460381593E-2
9.304687500E3,1.749191325E-3
9.328125000E3,6.882866486E-3
9.351562500E3,2.160063246E-2
9.375000000E3,3.616734315E-3
9.398437500E3,2.610051483E-2
9.421875000E3,1.530546946E-2
9.445312500E3,1.912192973E-2
9.468750000E3,3.765162100E-3
9.492187500E3,1.078003365E-2
9.515625000E3,5.111111917E-2
9.539062500E3,8.307992981E-3
9.562500000E3,1.426354353E-2
9.585937500E3,1.758781768E-2
9.609375000E3,7.265711159E-3
9.632812500E3,7.014968306E-2
9.656250000E3,1.033271066E-2
9.679687500E3,1.503197729E-2
9.703125000E3,3.313474720E-2
