"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.068313739E0,2.605666637E0,-4.814405441E0,-6.037197113E0,8.149585717E0
1.076308700E0,3.459434271E0,-2.621654510E0,-3.978343487E0,5.887951660E0
1.084330124E0,4.468193054E0,-9.381332397E-1,-7.005231380E-1,4.619044903E0
1.092325893E0,5.852676868E0,1.800695419E0,2.858778477E0,6.757880207E0
1.100322893E0,6.026841164E0,4.518777847E0,7.426796913E0,1.057825506E1
1.108340277E0,5.656041145E0,6.828969002E0,1.005816555E1,1.340866560E1
1.116335277E0,5.258362770E0,9.194553375E0,1.177863121E1,1.584065478E1
1.124363508E0,3.978987217E0,1.095764542E1,1.219724178E1,1.687231577E1
1.132359469E0,3.520256042E0,1.273536396E1,1.319044304E1,1.867001568E1
1.140393277E0,2.578334808E0,1.485641384E1,1.465288734E1,2.102541201E1
1.148410854E0,1.569838047E0,1.655677986E1,1.639683723E1,2.335482011E1
1.156408892E0,9.813192487E-1,1.824174881E1,1.913189125E1,2.645285712E1
1.164422046E0,8.779686689E-1,1.960102654E1,2.189057922E1,2.939674351E1
1.172419431E0,9.320602417E-1,2.044058037E1,2.371566963E1,3.132281993E1
1.180415431E0,1.562390089E0,2.046532822E1,2.492017937E1,3.228445542E1
1.188448123E0,2.472726345E0,1.987684822E1,2.430801392E1,3.149734927E1
1.196444662E0,3.167790890E0,1.891092300E1,2.319338608E1,3.009304015E1
1.204458431E0,4.109642029E0,1.729113770E1,2.117640686E1,2.764620784E1
1.212454815E0,4.418650150E0,1.568809891E1,1.888680267E1,2.494698843E1
1.220452238E0,4.475119591E0,1.379681492E1,1.614197350E1,2.170120056E1
1.228493046E0,4.862384319E0,1.200169945E1,1.351905823E1,1.872026993E1
1.236526238E0,4.873655319E0,1.044145012E1,1.153162193E1,1.630198458E1
1.244554892E0,5.009282112E0,8.634524345E0,9.716003418E0,1.393013426E1
1.252550815E0,4.513226986E0,7.229468346E0,7.837211609E0,1.157826914E1
1.260546854E0,3.810569763E0,6.366064072E0,6.468664646E0,9.843314279E0
1.268564469E0,2.768682957E0,5.616458893E0,5.168557644E0,8.119372139E0
1.276559815E0,2.066672325E0,4.962796211E0,4.551758289E0,7.044074407E0
1.284573584E0,1.440474987E0,4.130381584E0,4.336227417E0,6.159374029E0
1.292568930E0,1.123281240E0,3.020159721E0,4.193332195E0,5.288398660E0
1.300563507E0,9.130606055E-1,1.936150551E0,4.111057281E0,4.634991974E0
1.308594930E0,3.217731714E-1,8.110990524E-1,4.094746590E0,4.186689537E0
1.316590853E0,-3.511406779E-1,-8.242607117E-2,4.069016933E0,4.084971559E0
1.324603469E0,-4.839093089E-1,-1.180093765E0,3.971715927E0,4.171488574E0
1.332643353E0,-8.150847554E-1,-2.350370884E0,3.715409756E0,4.471339408E0
1.340640930E0,-9.681468010E-1,-3.430418491E0,3.205232620E0,4.793599420E0
1.348658276E0,-1.357142925E0,-4.728063107E0,2.624715090E0,5.575441414E0
1.356656276E0,-1.714507222E0,-5.921893120E0,2.151328087E0,6.529668114E0
1.364684853E0,-1.830929756E0,-6.894088745E0,1.755528212E0,7.345926946E0
1.372679853E0,-1.986682057E0,-8.154363632E0,1.202082872E0,8.478534960E0
1.380675392E0,-2.404031038E0,-9.025650978E0,5.672793388E-1,9.357539562E0
1.388690969E0,-2.850935459E0,-9.821550369E0,5.611205101E-2,1.022711265E1
1.396686392E0,-3.192080021E0,-1.053794670E1,-4.006046653E-1,1.101808421E1
1.404699199E0,-3.227428913E0,-1.108682537E1,-6.066966057E-1,1.156296134E1
1.412695353E0,-3.021421432E0,-1.156054592E1,-8.370346427E-1,1.197813994E1
