"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.279962950E-1,1.675941236E-2,6.370970726E0,7.077260017E0,9.522455472E0
2.299956410E-1,5.027823523E-2,6.380547523E0,7.381323814E0,9.756938857E0
2.320359100E-1,4.309562966E-2,6.385335922E0,7.529764175E0,9.872776743E0
2.340352570E-1,5.746084079E-2,6.404489517E0,7.745242596E0,1.005035176E1
2.360332180E-1,1.029506698E-1,6.409277916E0,7.946355343E0,1.020950564E1
2.380328720E-1,1.101332754E-1,6.402095318E0,8.010998726E0,1.025548899E1
2.400308330E-1,1.460463107E-1,6.385335922E0,8.157045364E0,1.036007883E1
2.420300640E-1,2.585737705E-1,6.342240334E0,8.276755333E0,1.043051061E1
2.440277950E-1,3.471592367E-1,6.320692539E0,8.360552788E0,1.048668282E1
2.460271800E-1,4.788403511E-1,6.277596951E0,8.473079681E0,1.055606891E1
2.480252950E-1,5.339069963E-1,6.217741966E0,8.540117264E0,1.057728579E1
2.500246410E-1,5.339069963E-1,6.184223175E0,8.552088737E0,1.056730310E1
2.521838720E-1,4.884171486E-1,6.112396717E0,8.566453934E0,1.053489810E1
2.540535260E-1,5.291185975E-1,6.069301128E0,8.504204750E0,1.046125619E1
2.560569100E-1,5.746083856E-1,6.050147533E0,8.485051155E0,1.043698007E1
2.580562950E-1,7.374141216E-1,6.052541733E0,8.489839554E0,1.045248376E1
2.600624490E-1,8.882488012E-1,6.064512730E0,8.468291283E0,1.045367198E1
2.620616800E-1,9.744400978E-1,6.062118530E0,8.427590370E0,1.042703668E1
2.640592950E-1,1.046266198E0,6.038176537E0,8.271966934E0,1.029464355E1
2.660584100E-1,1.170764685E0,6.030993938E0,8.097189903E0,1.016405737E1
2.680564100E-1,1.233013868E0,6.019022942E0,8.015787125E0,1.009959423E1
2.700554490E-1,1.364694953E0,6.021417141E0,7.893682957E0,1.002148129E1
2.722185260E-1,1.455674648E0,6.016628742E0,7.869740963E0,1.001257374E1
2.740965260E-1,1.414973259E0,5.978321552E0,7.757213593E0,9.895293863E0
2.760918330E-1,1.333570361E0,5.949591160E0,7.668628216E0,9.797137520E0
2.780912180E-1,1.343147159E0,5.949591160E0,7.637503624E0,9.774105630E0
2.800893720E-1,1.309628367E0,5.956773758E0,7.556100368E0,9.710454822E0
2.820888720E-1,1.228225470E0,5.954379559E0,7.438784599E0,9.607220724E0
2.840864870E-1,1.216254473E0,5.968744755E0,7.400477409E0,9.585001553E0
