"Time (s)","Recording (a.u.)"
5.437500000E-3,-2.990722656E-3
5.458333333E-3,-1.043701172E-2
5.479166667E-3,-1.666259766E-2
5.500000000E-3,-2.136230469E-2
5.520833333E-3,-2.139282227E-2
5.541666667E-3,-1.867675781E-2
5.562500000E-3,-1.397705078E-2
5.583333333E-3,-9.429931641E-3
5.604166667E-3,-5.615234375E-3
5.625000000E-3,-2.685546875E-3
5.645833333E-3,-2.075195312E-3
5.666666667E-3,-3.631591797E-3
5.687500000E-3,-4.699707031E-3
5.708333333E-3,-3.356933594E-3
5.729166667E-3,1.434326172E-3
5.750000000E-3,8.880615234E-3
5.770833333E-3,1.663208008E-2
5.791666667E-3,2.066040039E-2
5.812500000E-3,1.992797852E-2
5.833333333E-3,1.431274414E-2
5.854166667E-3,6.988525391E-3
5.875000000E-3,1.342773438E-3
5.895833333E-3,-1.403808594E-3
5.916666667E-3,-1.312255859E-3
5.937500000E-3,9.765625000E-4
5.958333333E-3,2.014160156E-3
5.979166667E-3,7.934570312E-4
6.000000000E-3,-3.631591797E-3
6.020833333E-3,-9.796142578E-3
6.041666667E-3,-1.583862305E-2
6.062500000E-3,-2.069091797E-2
6.083333333E-3,-2.465820312E-2
6.104166667E-3,-2.578735352E-2
6.125000000E-3,-2.328491211E-2
6.145833333E-3,-1.861572266E-2
6.166666667E-3,-1.284790039E-2
6.187500000E-3,-8.941650391E-3
6.208333333E-3,-6.439208984E-3
6.229166667E-3,-7.141113281E-3
6.250000000E-3,-9.399414062E-3
6.270833333E-3,-9.765625000E-3
6.291666667E-3,-6.805419922E-3
6.312500000E-3,-7.629394531E-4
6.333333333E-3,4.150390625E-3
6.354166667E-3,5.828857422E-3
6.375000000E-3,3.631591797E-3
6.395833333E-3,-5.187988281E-4
6.416666667E-3,-6.774902344E-3
6.437500000E-3,-1.351928711E-2
6.458333333E-3,-1.791381836E-2
6.479166667E-3,-1.901245117E-2
6.500000000E-3,-1.690673828E-2
6.520833333E-3,-1.477050781E-2
6.541666667E-3,-1.525878906E-2
6.562500000E-3,-1.760864258E-2
6.583333333E-3,-2.166748047E-2
6.604166667E-3,-2.389526367E-2
6.625000000E-3,-2.215576172E-2
6.645833333E-3,-1.620483398E-2
6.666666667E-3,-9.063720703E-3
6.687500000E-3,-3.784179688E-3
6.708333333E-3,-1.007080078E-3
6.729166667E-3,8.850097656E-4
6.750000000E-3,2.014160156E-3
6.770833333E-3,2.197265625E-3
6.791666667E-3,-9.460449219E-4
6.812500000E-3,-4.425048828E-3
6.833333333E-3,-7.110595703E-3
6.854166667E-3,-6.835937500E-3
6.875000000E-3,-3.326416016E-3
6.895833333E-3,1.281738281E-3
6.916666667E-3,3.356933594E-3
6.937500000E-3,1.159667969E-3
6.958333333E-3,-3.967285156E-3
6.979166667E-3,-9.887695312E-3
7.000000000E-3,-1.483154297E-2
7.020833333E-3,-1.705932617E-2
7.041666667E-3,-1.641845703E-2
7.062500000E-3,-1.449584961E-2
7.083333333E-3,-1.199340820E-2
7.104166667E-3,-8.819580078E-3
7.125000000E-3,-6.072998047E-3
7.145833333E-3,-3.356933594E-3
7.166666667E-3,-2.380371094E-3
7.187500000E-3,-2.929687500E-3
7.208333333E-3,-2.960205078E-3
7.229166667E-3,-1.770019531E-3
7.250000000E-3,3.051757812E-5
7.270833333E-3,-8.850097656E-4
7.291666667E-3,-4.577636719E-3
7.312500000E-3,-1.016235352E-2
7.333333333E-3,-1.538085938E-2
7.354166667E-3,-2.020263672E-2
7.375000000E-3,-2.380371094E-2
7.395833333E-3,-2.539062500E-2
7.416666667E-3,-2.502441406E-2
7.437500000E-3,-2.178955078E-2
7.458333333E-3,-1.824951172E-2
7.479166667E-3,-1.461791992E-2
7.500000000E-3,-1.211547852E-2
7.520833333E-3,-9.735107422E-3
7.541666667E-3,-9.704589844E-3
7.562500000E-3,-1.040649414E-2
7.583333333E-3,-1.303100586E-2
7.604166667E-3,-1.498413086E-2
7.625000000E-3,-1.480102539E-2
7.645833333E-3,-1.467895508E-2
7.666666667E-3,-1.495361328E-2
7.687500000E-3,-1.596069336E-2
7.708333333E-3,-1.779174805E-2
7.729166667E-3,-1.986694336E-2
7.750000000E-3,-2.066040039E-2
7.770833333E-3,-2.111816406E-2
7.791666667E-3,-2.001953125E-2
7.812500000E-3,-1.681518555E-2
7.833333333E-3,-1.208496094E-2
7.854166667E-3,-8.514404297E-3
7.875000000E-3,-6.225585938E-3
7.895833333E-3,-5.187988281E-3
7.916666667E-3,-5.340576172E-3
7.937500000E-3,-5.981445312E-3
7.958333333E-3,-7.965087891E-3
7.979166667E-3,-8.636474609E-3
8.000000000E-3,-7.415771484E-3
8.020833333E-3,-4.486083984E-3
8.041666667E-3,-2.532958984E-3
8.062500000E-3,-2.655029297E-3
8.083333333E-3,-4.638671875E-3
8.104166667E-3,-7.385253906E-3
8.125000000E-3,-8.605957031E-3
8.145833333E-3,-7.751464844E-3
8.166666667E-3,-3.234863281E-3
8.187500000E-3,5.004882812E-3
8.208333333E-3,1.367187500E-2
8.229166667E-3,1.971435547E-2
8.250000000E-3,2.209472656E-2
8.270833333E-3,2.249145508E-2
8.291666667E-3,2.206420898E-2
8.312500000E-3,2.133178711E-2
8.333333333E-3,2.261352539E-2
8.354166667E-3,2.548217773E-2
8.375000000E-3,2.923583984E-2
8.395833333E-3,3.228759766E-2
8.416666667E-3,3.378295898E-2
8.437500000E-3,3.393554688E-2
8.458333333E-3,3.155517578E-2
8.479166667E-3,2.865600586E-2
8.500000000E-3,2.600097656E-2
8.520833333E-3,2.383422852E-2
8.541666667E-3,2.221679688E-2
8.562500000E-3,2.166748047E-2
8.583333333E-3,2.062988281E-2
8.604166667E-3,1.913452148E-2
8.625000000E-3,1.742553711E-2
8.645833333E-3,1.666259766E-2
8.666666667E-3,1.730346680E-2
8.687500000E-3,1.705932617E-2
8.708333333E-3,1.574707031E-2
8.729166667E-3,1.376342773E-2
8.750000000E-3,1.132202148E-2
8.770833333E-3,7.690429688E-3
8.791666667E-3,4.058837891E-3
8.812500000E-3,-1.525878906E-4
8.833333333E-3,-3.967285156E-3
8.854166667E-3,-6.378173828E-3
8.875000000E-3,-7.141113281E-3
8.895833333E-3,-2.685546875E-3
8.916666667E-3,4.211425781E-3
8.937500000E-3,1.196289062E-2
8.958333333E-3,1.510620117E-2
8.979166667E-3,1.263427734E-2
9.000000000E-3,7.202148438E-3
9.020833333E-3,1.342773438E-3
9.041666667E-3,-1.312255859E-3
9.062500000E-3,-1.586914062E-3
9.083333333E-3,8.544921875E-4
9.104166667E-3,2.166748047E-3
9.125000000E-3,1.525878906E-3
9.145833333E-3,-2.136230469E-4
9.166666667E-3,-3.234863281E-3
9.187500000E-3,-4.791259766E-3
9.208333333E-3,-6.225585938E-3
9.229166667E-3,-7.232666016E-3
9.250000000E-3,-8.911132812E-3
9.270833333E-3,-9.246826172E-3
9.291666667E-3,-8.239746094E-3
9.312500000E-3,-5.584716797E-3
9.333333333E-3,-2.227783203E-3
9.354166667E-3,3.967285156E-4
9.375000000E-3,2.166748047E-3
9.395833333E-3,2.899169922E-3
9.416666667E-3,1.037597656E-3
9.437500000E-3,9.155273438E-5
9.458333333E-3,-2.105712891E-3
9.479166667E-3,-3.143310547E-3
9.500000000E-3,-5.004882812E-3
9.520833333E-3,-7.019042969E-3
9.541666667E-3,-9.094238281E-3
9.562500000E-3,-1.055908203E-2
9.583333333E-3,-1.119995117E-2
9.604166667E-3,-8.758544922E-3
9.625000000E-3,-5.035400391E-3
9.645833333E-3,2.441406250E-4
9.666666667E-3,4.241943359E-3
9.687500000E-3,7.934570312E-3
9.708333333E-3,1.083374023E-2
9.729166667E-3,1.327514648E-2
9.750000000E-3,1.458740234E-2
9.770833333E-3,1.330566406E-2
9.791666667E-3,1.016235352E-2
9.812500000E-3,6.103515625E-3
9.833333333E-3,2.380371094E-3
9.854166667E-3,1.800537109E-3
9.875000000E-3,2.075195312E-3
9.895833333E-3,2.777099609E-3
9.916666667E-3,2.960205078E-3
9.937500000E-3,1.922607422E-3
9.958333333E-3,9.155273438E-4
9.979166667E-3,-1.281738281E-3
1.000000000E-2,-2.899169922E-3
1.002083333E-2,-3.906250000E-3
1.004166667E-2,-3.295898438E-3
1.006250000E-2,-3.173828125E-3
1.008333333E-2,-2.593994141E-3
1.010416667E-2,-1.312255859E-3
1.012500000E-2,-2.746582031E-4
1.014583333E-2,-4.577636719E-4
