"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.182523962E0,-2.934099960E1,-2.017879868E1,-8.576600075E0,3.662835299E1
1.192523962E0,-2.948740005E1,-2.003240013E1,-8.271599770E0,3.659539834E1
1.202523962E0,-2.964599991E1,-1.989819908E1,-7.966599941E0,3.658265097E1
1.212523962E0,-2.976799965E1,-1.970299911E1,-7.551799774E0,3.648796592E1
1.222523962E0,-2.992659950E1,-1.950779915E1,-7.307799816E0,3.646312553E1
1.232523962E0,-3.010960007E1,-1.934919930E1,-7.112599850E0,3.649066464E1
1.242523962E0,-3.021939850E1,-1.923939896E1,-6.929599762E0,3.648816069E1
1.252523962E0,-3.026819992E1,-1.910519981E1,-6.758800030E0,3.642600670E1
1.262523962E0,-3.043899918E1,-1.894659996E1,-6.624599934E0,3.646082343E1
1.272523962E0,-3.059759903E1,-1.877579880E1,-6.539199829E0,3.648979064E1
1.282523962E0,-3.071959877E1,-1.854399872E1,-6.466000080E0,3.646070205E1
1.292523962E0,-3.086599922E1,-1.842199898E1,-6.392799854E0,3.650955826E1
1.302523962E0,-3.092700005E1,-1.826339912E1,-6.246399879E0,3.645611870E1
1.312523962E0,-3.102459908E1,-1.810479927E1,-6.014599800E0,3.642094061E1
1.322523962E0,-3.114659882E1,-1.789739990E1,-5.941400051E0,3.641054484E1
1.332523962E0,-3.123199844E1,-1.781200027E1,-5.636399746E0,3.639332470E1
1.342523962E0,-3.115880013E1,-1.772659874E1,-5.331399918E0,3.624261239E1
1.352523962E0,-3.115880013E1,-1.758020020E1,-4.965399742E0,3.611910102E1
1.362523962E0,-3.132959938E1,-1.743379974E1,-4.770199776E0,3.616954488E1
1.372523962E0,-3.143939972E1,-1.728739929E1,-4.489599705E0,3.615863015E1
1.382523962E0,-3.153699875E1,-1.718980026E1,-4.172399998E0,3.615909906E1
1.392523962E0,-3.162240028E1,-1.701899910E1,-3.891799927E0,3.612158132E1
1.402523962E0,-3.167119980E1,-1.689699936E1,-3.489199877E0,3.606588415E1
1.412523962E0,-3.182979965E1,-1.677499962E1,-3.208600044E0,3.612245662E1
1.422523962E0,-3.198839951E1,-1.662859917E1,-2.952399969E0,3.617298272E1
1.432523962E0,-3.214699936E1,-1.649440002E1,-2.549799919E0,3.622148920E1
1.442523962E0,-3.217139816E1,-1.640900040E1,-2.122799873E0,3.617679412E1
1.452523962E0,-3.625839996E1,-9.881999969E0,1.951999903E0,3.763157976E1
1.462523962E0,-3.629499817E1,-9.833199501E0,2.330199957E0,3.767556949E1
1.472523962E0,-3.625839996E1,-9.796599388E0,2.659600019E0,3.765260150E1
1.482523962E0,-3.629499817E1,-9.674599648E0,2.903599977E0,3.767433693E1
1.492523962E0,-3.634379959E1,-9.442799568E0,3.013399839E0,3.767119338E1
1.502523962E0,-3.644139862E1,-9.308599472E0,3.159800053E0,3.774400474E1
1.512523962E0,-3.649020004E1,-9.210999489E0,3.269599915E0,3.777654688E1
1.522523962E0,-3.650239944E1,-9.125599861E0,3.428200006E0,3.778166610E1
