"Time (s)","Pressure (hPa)"
1.490964370E1,1.015001221E3
1.494964578E1,1.015003723E3
1.498964396E1,1.014993713E3
1.502964526E1,1.014997498E3
1.506964474E1,1.015001221E3
1.510964552E1,1.015005005E3
1.514964370E1,1.015000000E3
1.518964396E1,1.014992493E3
1.522964578E1,1.014998718E3
1.526964552E1,1.014998718E3
1.530964578E1,1.014987488E3
1.534964500E1,1.014979980E3
1.538964474E1,1.014991211E3
1.542964526E1,1.014991211E3
1.546964390E1,1.014992493E3
1.550964995E1,1.014988708E3
1.554964968E1,1.014993713E3
1.558965073E1,1.014993713E3
1.562964812E1,1.014992493E3
1.566964656E1,1.014994995E3
1.570964890E1,1.014992493E3
1.574964890E1,1.014998718E3
1.578964656E1,1.015000000E3
1.582964734E1,1.014993713E3
1.586964786E1,1.014991211E3
1.590965020E1,1.014992493E3
1.594964734E1,1.014998718E3
1.598965125E1,1.014996216E3
1.602964890E1,1.014996216E3
1.606964812E1,1.014998718E3
1.610964838E1,1.015003723E3
1.614964864E1,1.015000000E3
1.618964344E1,1.015003723E3
1.622965411E1,1.015008728E3
1.626964812E1,1.015005005E3
1.630965073E1,1.015007507E3
1.634964161E1,1.014997498E3
1.638963953E1,1.014994995E3
1.642965020E1,1.014996216E3
1.646964760E1,1.015003723E3
1.650964354E1,1.015007507E3
1.654963896E1,1.015007507E3
1.658965286E1,1.015007507E3
1.662964838E1,1.015018738E3
1.666963781E1,1.015014954E3
1.670963781E1,1.015014954E3
1.674963911E1,1.015016235E3
1.678963932E1,1.015006226E3
1.682964422E1,1.015009949E3
1.686964708E1,1.015007507E3
1.690964526E1,1.015005005E3
1.694964630E1,1.015005005E3
1.698964760E1,1.014996216E3
1.702964630E1,1.014988708E3
1.706964370E1,1.014996216E3
1.710964630E1,1.014993713E3
1.714964552E1,1.014994995E3
1.718964630E1,1.015002502E3
1.722964494E1,1.015001221E3
1.726964791E1,1.015005005E3
1.730964448E1,1.015011230E3
1.734964844E1,1.015012451E3
1.738964422E1,1.015006226E3
1.742964453E1,1.015008728E3
1.746964890E1,1.015003723E3
1.750964583E1,1.015000000E3
1.754964661E1,1.015001221E3
1.758964265E1,1.015009949E3
1.762964500E1,1.015011230E3
1.766964604E1,1.015009949E3
1.770964505E1,1.015006226E3
1.774964656E1,1.015006226E3
1.778964422E1,1.015009949E3
1.782964526E1,1.015014954E3
1.786964552E1,1.015009949E3
1.790964578E1,1.015018738E3
1.794964364E1,1.015018738E3
1.798963448E1,1.015022461E3
1.802964297E1,1.015019958E3
1.806964291E1,1.015018738E3
1.810964505E1,1.015012451E3
1.814964291E1,1.015007507E3
1.818964317E1,1.015005005E3
1.822964474E1,1.015009949E3
1.826964396E1,1.015013733E3
1.830964479E1,1.015006226E3
1.834964344E1,1.015003723E3
1.838964344E1,1.014998718E3
1.842964344E1,1.015003723E3
1.846964291E1,1.015009949E3
1.850964396E1,1.015008728E3
1.854964344E1,1.015009949E3
1.858964422E1,1.015008728E3
1.862964344E1,1.015002502E3
1.866964286E1,1.015003723E3
1.870964500E1,1.015001221E3
1.874964390E1,1.015000000E3
1.878964317E1,1.015006226E3
1.882964265E1,1.015011230E3
1.886964370E1,1.015007507E3
1.890964526E1,1.015000000E3
1.894964812E1,1.015006226E3
1.898964317E1,1.015002502E3
1.902964344E1,1.015001221E3
1.906964370E1,1.015009949E3
1.910964344E1,1.015006226E3
1.914964474E1,1.015011230E3
1.918964526E1,1.015008728E3
1.922964604E1,1.015011230E3
1.926964474E1,1.015005005E3
1.930964630E1,1.015003723E3
1.934964474E1,1.015003723E3
1.938964422E1,1.014998718E3
1.942964448E1,1.015013733E3
1.946963922E1,1.015012451E3
1.950964390E1,1.015012451E3
1.954964474E1,1.015013733E3
1.958964448E1,1.015011230E3
1.962964370E1,1.015005005E3
1.966964422E1,1.014998718E3
1.970964500E1,1.015006226E3
1.974964552E1,1.015011230E3
1.978964630E1,1.015012451E3
1.982964552E1,1.015005005E3
1.986964604E1,1.015006226E3
1.990963099E1,1.015005005E3
1.994964755E1,1.015002502E3
1.998964255E1,1.015007507E3
2.002964916E1,1.015005005E3
2.006964130E1,1.015008728E3
2.010963718E1,1.014997498E3
2.014963896E1,1.014998718E3
2.018963880E1,1.015000000E3
